"ABAADAABDCDB ABC                                  "
"AAAABCABCCDB ABC                                  "
"AABAADDBCADA AAC                                  "
"AAAAACDCCC CAABC                                  "
"ABBABCABDABA ABA                                  "
"ABBABADDDCDC ABC                                  "
"AABACCBBCCBCABC                                   "
"ABAAADABDABA AAC                                  "
"ABBBADDBBADA AAC                                  "
"ABAAACABDADA AAC                                  "
"AABAACABBBDB AAC                                  "
"ABAAAAABCBDA AAC                                  "
"AABABDDBBAAB AAC                                  "
"ABAABCABCBDA AAC                                  "
"AAAAADABCADA AAC                                  "
"ABBADDCBCBDA AAC                                  "
"AABADCCBCBDA AAC                                  "
"AABAADDBCADB AAC                                  "
"AABAACDBCADA AAC                                  "
"ABAAACABBBDA AAC                                  "
"ABBADCCBDAAA AAC                                  "
"ABAAACDBDADB AAC                                  "
"AABAADABCADA AAC                                  "
"AAAADDABDBDB AAC                                  "
"AABADDDBDADA ABC                                  "
"ABAABAABCADA ABC                                  "
"AABABDABDBAA AAC                                  "
"ABBAACCBCADB AAC                                  "
"AAABBCCBDCDB ABC                                  "
"ABBABBBCDCDC ABC                                  "
"ABCAACDBCADB ABC                                  "
"AABABDACDADB AAC                                  "
"AAAADDDCDBDA AAC                                  "
"ABDBACBABACBABCB                                  "
"BABBBADADBCC CBA                                  "
"AABADCDBCBDA AAC                                  "
"AABAACABBADA AAC                                  "
"ABCACBBCDCCC AAD                                  "
"AAAAACCBDAAA ABC                                  "
"ABBADACBBCDA ABC                                  "
"AAAACDABCACAAAAC                                  "
"ABBADCBBCADA AAC                                  "
"ABBAAACABAAAAABC                                  "
"ABCABDACCADA ABC                                  "
"ABBABEABDBAA ABC                                  "
"AAAAADABCBDB AAC                                  "
"ABAAACCBBBAA AAC                                  "
"AABABDDBCBDA AAC                                  "
"AAAAACCBBADB ABC                                  "
"ABBBACABBBBA AAC                                  "
"ABBABDDBCCDA ABC                                  "
"AABBDCDACBDB ABC                                  "
"AAABBDBCD*DB ABC                                  "
"ABBAAAACCADA AAC                                  "
"ABBABADABAAAAABC                                  "
"AAAADCABCBAA AAC                                  "
"CBBACBA*DBDC ABD                                  "
"BBBAADABDBAB AAC                                  "
"BAAAACABDADA AAC                                  "
"BAAADCDBCAAB AAC                                  "
"BBAAACABDADB AAC                                  "
"BBBBAAACDCAA AAC                                  "
"BBCACCDCDADA ABC                                  "
"BBBAACABDADA ABC                                  "
"BBAAADDBDACA AAC                                  "
"BAAAADDBCADA AAC                                  "
"BBBACADBCCDB AAC                                  "
"BABAAAABCBDB AAC                                  "
"BAAAACDBCADA AAC                                  "
"BBAAACDBDADA AAC                                  "
"BBAAADDBCADA AAC                                  "
"BABAACABDADB AAC                                  "
"BBBAACADBBAA BAA                                  "
"BBAAACABCADA AAC                                  "
"BABADADBCCDB ABC                                  "
"BAAAADDBCADB AAC                                  "
"BAAADDDBDBDB AAC                                  "
"BBAADCDBBADA AAC                                  "
"BAAADCABBADA AAC                                  "
"BBAADCDBCAAB AAC                                  "
"BAAAADABDADA AAC                                  "
"BBBABBCC*CCA AAA                                  "
"BBBACCBBCAAA AAC                                  "
"BAAAADABCCDB AAC                                  "
"BABABABBBABA AAB                                  "
"BBAAACDBBCAB ABC                                  "
"BBBBBADCBCCC ABC                                  "
"BBAACADBBCDA AAC                                  "
"BBBAAADBBCDB ABC                                  "
"BABADAAABADB ABC                                  "
"BABAACABDBDB ABC                                  "
"BBAADDABCADB AAC                                  "
"BAAAADDBCCAB AAC                                  "
"BBAABBACDBDB ABC                                  "
"BAAAACABCBDB ABC                                  "
"BBA AACBCB A DEAC                                 "
"BAABAADBACDB AAC                                  "
"BACADCDBCBDB AAC                                  "
"AB ACBCBDBCA DCB         B                        "
"CABAACDBCAAB AAC                                  "
"BBBADDABCADA AAC                                  "
"BAAAADABCADA AAC                                  "
"BBAACCABCABA AAC                                  "
"BABAADABBADB AAC                                  "
"BAAADDDBDADB AAC                                  "
"BBAADAABBBDB AAC                                  "
"BBBAAADBDCDB ABC                                  "
"BAABCBDCDCDA ABC                                  "
"BAAAACDBBBDA AAC                                  "
"BBBADAAABBDB AAC                                  "
"CAAAACABDADA AAC                                  "
"CAAADAABBADB AAC                                  "
"CABAADDBCADB AAC                                  "
"CAAAACDCCADA ABC                                  "
"CBBADCABCCDB ABC                                  "
"CBAADCCBDADA AAC                                  "
"CABAADDBCBDBAABC                                  "
"CAAABDA CBDB BBB                                  "
"CBBADCBBCADA ABC                                  "
"CBBACCDCCCDB ABC                                  "
"CBAAACABBBDA AAC                                  "
"CBAAABCBDADA ABC                                  "
"CBABCCABDACA AAC                                  "
"CACADDABCADA AAC                                  "
"CBBADCCBBBDB AAC                                  "
"CBBAADDBBBDB ABC                                  "
"CBBAAAABCBDB ABC                                  "
"CBBABADBCADA ABC                                  "
"CABAADDBCADB AAC                                  "
"CBABACADDADB ABC                                  "
"CBBAADABCADB AAC                                  "
"CABAADDBCBDB AAC                                  "
"CBAADCDBCBDA ABC                                  "
"CBBADDDCBBDB ABC                                  "
"CBBBDCDBBCDB AAB                                  "
"CABACCBBBADA AAC                                  "
"CBAAABDCCBDA ABC                                  "
"CABACAABCADB ABC                                  "
"CBBAACDBCADB AAC                                  "
"CBBAAABBBBDA AAC                                  "
"CAAADAABDCDBAABC                                  "
"CABADCABCABA AAC                                  "
"CBCBCADBCAAC AAC                                  "
"CABBBACCCDDB ABA                                  "
"CAAAADABCADB AAC                                  "
"CBBBBCABBBDB AAC                                  "
"CBAACBACDCDA ABC                                  "
"CBBBDADBDADB ABC                                  "
"CBABABDCCBAA AAC                                  "
"BBBABDDBCADB AAC                                  "
"CBBABBABBADB ABC                                  "
"CBBBDDBDBCDCAAAC                                  "
"CAAADDABCBAA AAC                                  "
"CAABDAACCCAB AAC                                  "
"CBABACABBAAB ABC                                  "
"CBAACADCDCCC AAC                                  "
"CBBAAAAABCAB ABC                                  "
"CABACAAADCDC ABC                                  "
"CBAAACDBBADB ABC                                  "
"CAABACABDBBAAAAD                                  "
"CBBAACABCADB AAC                                  "
"CBAABDBBCADAAABC                                  "
"CBBAACABCBDA AAC                                  "
"CAAAADDBBBDA ABC                                  "
"CAABAABBBBCBAAAC                                  "
"CAAAACDBCADA ABC                                  "
"CABAADDBDADA ABA                                  "
"CBAAACABDADB AAC                                  "
"CBAABBABDBDC ABC                                  "
"CBAABD BCADB ABC                                  "
"CABADCDBDBDB AAC                                  "
"CAAAADABBBDA ABC                                  "
"CBAACBDBDCDA ABC                                  "
"CBCBAABABCDB ABC                                  "
"CBBAACCCDCDA ABC                                  "
"CBBBDADBBBDA ABC                                  "
"CBBABDDBBCAA ABC                                  "
"CBABABADADABCAAC                                  "
